Place:Contestant:   1:     2:     3:     4:      4:      5:      5:      6:      6:      7:      7:      8:      8:      9:      9:      10:     10:     11:     11:      12:      12:       13
1:Whitney Miller:   A-IN:  A-IN:  A-IN:  MB-WIN: EC-IN:  TC-LOS: PT-IN:  MB-HIGH:EC-IN:  TC-LOS: PT-IN:  MB-IN:  EC-LOW: TC-WIN: PT-IMM: MB-HIGH:EC-WIN: IC-LOW: PT-LOW:  SF-IMM:  SF-WIN:   F-WIN
2:David Miller:     A-IN:  A-IN:  A-IN:  MB-IN:  EC-IN:  TC-LOS: PT-IN:  MB-IN:  EC-IN:  TC-WIN: PT-IMM: MB-IN:  EC-IN:  TC-WIN: PT-IMM: MB-IN:  EC-IN:  IC-WIN: PT-IMM:  SF-WIN:  SF-IMM:   F-ELIM
3:Lee Knaz:         A-IN:  A-IN:  A-IN:  MB-IN:  EC-IN:  TC-WIN: PT-IMM: MB-IN:  EC-IN:  TC-LOS: PT-IN:  MB-WIN: EC-WIN: TC-LOS: PT-LOW: MB-IN:  EC-LOW: IC-HIGH:PT-IMM:  SF-IMM:  SF-ELIM
4:Sheetal Bhagat:   A-IN:  A-IN:  A-IN:  MB-IN:  EC-IN:  TC-WIN: PT-IMM: MB-IN:  EC-IN:  TC-WIN: PT-IMM: MB-HIGH:EC-LOW: TC-WIN: PT-IMM: MB-WIN: EC-LOW: IC-IN:  PT-IMM:  SF-ELIM
5:Sharone Hakman:   A-IN:  A-IN:  A-IN:  MB-IN:  EC-IN:  TC-LOS: PT-IN:  MB-WIN: EC-IMM: TC-WIN: PT-IMM: MB-HIGH:EC-IN:  TC-WIN: PT-IMM: MB-HIGH:EC-IN:  IC-LOW: PT-ELIM
6:Michael Kim:      A-IN:  A-IN:  A-IN:  MB-IN:  EC-WIN: TC-WIN: PT-IMM: MB-IN:  EC-LOW: TC-WIN: PT-IMM: MB-IN:  EC-IN:  TC-LOS: PT-IN:  MB-IN:  EC-ELIM
7:Jacob Gandolfo:   A-IN:  A-IN:  A-IN:  MB-HIGH:EC-IN:  TC-WIN: PT-IMM: MB-HIGH:EC-WIN: TC-LOS: PT-IN:  MB-IN:  EC-IN:  TC-LOS: PT-ELIM
7:Tracy Nailor:     A-IN:  A-IN:  A-IN:  MB-IN:  EC-IN:  TC-WIN: PT-IMM: MB-IN:  EC-IN:  TC-LOS: PT-IN:  MB-IN:  EC-LOW: TC-LOS: PT-ELIM
9:Kim Dung Huynh:   A-IN:  A-IN:  A-IN:  MB-IN:  EC-IN:  TC-LOS: PT-IN:  MB-IN:  EC-LOW: TC-WIN: PT-IMM: MB-IN:  EC-ELIM
10:Anthony Carbone: A-IN:  A-IN:  A-IN:  MB-IN:  EC-IN:  TC-WIN: PT-IMM: MB-IN:  EC-IN:  TC-LOS: PT-ELIM
11:Faruq Jenkins:   A-IN:  A-IN:  A-IN:  MB-IN:  EC-LOW: TC-LOS: PT-IN:  MB-IN:  EC-ELIM
12:Jenna Hamiter:   A-IN:  A-IN:  A-IN:  MB-IN:  EC-IN:  TC-LOS: PT-ELIM
13:Sheena Zadeh:    A-IN:  A-IN:  A-IN:  MB-HIGH:EC-ELIM
13:Avis White:      A-IN:  A-IN:  A-IN:  MB-IN:  EC-ELIM
