Place:Contestant:       1:     2:     3:     4:     5:      5:      6:      6:       7:       7:        8:      8:        9:      9:        10:     10:     11:     11:      12:     12:      13:     13:     14:     14:     15:     15:      16:     16:      17:     17:     18:     18:     19:     19:     20
1:Jennifer Behm:        A-IN:  A-IN:  A-IN:  A-IN:  MB-IN:  EC-IN:  TC-LOS: PT-LOW:  MB-LOW:  EC-IN:    TC-WIN: PT-IMM:   MB-WIN: EC-IN:    TC-LOS: PT-IN:  MB-WIN: EC-LOW:  TC-WIN: PT-IMM:  MB-IN:  EC-LOW: TC-LOS: PT-IN:  MB-WIN: EC-IN:   TC-LOS: PT-IN:   MB-HIGH:EC-LOW: TC-WIN: PT-IMM: MB-LOW: EC-IN:  F-WIN
2:Adrien Nieto:         A-IN:  A-IN:  A-IN:  A-IN:  MB-IN:  EC-IN:  TC-WIN: PT-IMM:  MB-WIN:  EC-IN:    TC-LOS: PT-IMM:   MB-HIGH:EC-LOW:   TC-WIN: PT-IMM: MB-IN:  EC-LOW:  TC-WIN: PT-IMM:  MB-WIN: EC-IN:  TC-LOS: PT-IN:  MB-HIGH:EC-IN:   TC-LOS: PT-LOW:  MB-HIGH:EC-LOW: TC-WIN: PT-IMM: MB-WIN: EC-WIN: F-ELIM
3:Christian Collins:    A-IN:  A-IN:  A-IN:  A-IN:  MB-WIN: EC-IMM: TC-LOS: PT-IN:   MB-IN:   EC-IN:    TC-WIN: PT-IMM:   MB-LOW: EC-WIN:   TC-WIN: PT-IMM: MB-IN:  EC-IN:   TC-WIN: PT-IMM:  MB-HIGH:EC-WIN: TC-LOS: PT-IN:  MB-IN:  EC-IN:   TC-WIN: PT-IMM:  MB-IN:  EC-LOW: TC-LOS: PT-IN:  MB-HIGH:EC-ELIM
4:Susan Singh:          A-IN:  A-IN:  A-IN:  A-IN:  MB-HIGH:EC-IN:  TC-WIN: PT-IMM:  MB-IN:   EC-IN:    TC-WIN: PT-IMM:   MB-IN:  EC-IN:    TC-LOS: PT-LOW: MB-IN:  EC-IN:   TC-LOS: PT-IN:   MB-IN:  EC-LOW: TC-WIN: PT-IMM: MB-HIGH:EC-WIN:  TC-WIN: PT-IMM:  MB-IN:  EC-WIN: TC-LOS: PT-ELIM
5:Benjamin Starr:       A-IN:  A-IN:  A-IN:  A-IN:  MB-LOW: EC-IN:  TC-WIN: PT-IMM:  MB-IN:   EC-IN:    TC-LOS: PT-IMM:   MB-IN:  EC-WIN:   TC-LOS: PT-IN:  MB-IN:  EC-IN:   TC-LOS: PT-IN:   MB-HIGH:EC-IN:  TC-WIN: PT-IMM: MB-IN:  EC-LOW:  TC-WIN: PT-IMM:  MB-WIN: EC-ELIM
6:Tracy Kontos:         A-IN:  A-IN:  A-IN:  A-IN:  MB-IN:  EC-IN:  TC-LOS: PT-IN:   MB-HIGH: EC-WIN:   TC-WIN: PT-IMM:   MB-IN:  EC-IN:    TC-LOS: PT-IN:  MB-IN:  EC-WIN:  TC-WIN: PT-IMM:  MB-IN:  EC-IN:  TC-WIN: PT-IMM: MB-IN:  EC-WIN:  TC-LOS: PT-ELIM
7:Derrick Prince:       A-IN:  A-IN:  A-IN:  A-IN:  MB-IN:  EC-WIN: TC-WIN: PT-IMM:  MB-IN:   EC-IN:    TC-LOS: PT-IMM:   MB-IN:  EC-IN:    TC-WIN: PT-IMM: MB-HIGH:EC-IN:   TC-LOS: PT-LOW:  MB-IN:  EC-IN:  TC-LOS: PT-IN:  MB-IN:  EC-ELIM
7:Christine Corley:     A-IN:  A-IN:  A-IN:  A-IN:  MB-IN:  EC-IN:  TC-WIN: PT-IMM:  MB-IN:   EC-IN:    TC-LOS: PT-LOW:   MB-IN:  EC-IN:    TC-LOS: PT-LOW: MB-IN:  EC-IN:   TC-WIN: PT-IMM:  MB-IN:  EC-WIN: TC-WIN: PT-IMM: MB-IN:  EC-ELIM
9:Alejandra Schrader:   A-IN:  A-IN:  A-IN:  A-IN:  MB-IN:  EC-IN:  TC-LOS: PT-IN:   MB-HIGH: EC-IN:    TC-WIN: PT-IMM:   MB-HIGH:EC-LOW:   TC-WIN: PT-IMM: MB-HIGH:EC-IN:   TC-LOS: PT-LOW:  MB-IN:  EC-ELIM
10:Giuseppe Morisco:    A-IN:  A-IN:  A-IN:  A-IN:  MB-IN:  EC-IN:  TC-LOS: PT-IN:   MB-IN:   EC-IN:    TC-WIN: PT-IMM:   MB-IN:  EC-IN:    TC-WIN: PT-IMM: MB-IN:  EC-WIN:  TC-LOS: PT-ELIM
