Place:Contestant:           1:    2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19
1:Courtney Lapresi:         A-IN: WIN:IMM:PT:IN:LOW:WIN:IN:WIN:IMM:IMM:WIN:HIGH:IN:WIN:IN:WIN:NPT:IN:IMM:WIN:IMM:PT:HIGH:WIN:WIN:IN:PT:WINNER
2:Elizabeth Cauvel:         A-IN: IN:IMM:WIN:IN:IN:WIN:WIN:IMM:IN:IMM:WIN:HIGH:WIN:WIN:HIGH:IN:WIN:WIN:IMM:IN:IN:WIN:WIN:IMM:WIN:WIN:IMM:RUNNER-UP
3:Leslie Gilliams:          A-IN: IN:IMM:PT:IN:WIN:PT:IN:IN:IN:IMM:PT:IN:IN:LOW:WIN:IMM:PT:WIN:IMM:HIGH:WIN:WIN:IN:LOW:PT:IN:ELIM:
4:Joshua Brewer:            A-IN: LOW:IMM:WIN:IN:LOW:WIN:IN:IN:LOW:LOW:LOW:IN:LOW:PT:IN:IN:WIN:LOW:PT:IN:IN:WIN:IN:HIGH:ELIM:
5:Christian Green:          A-IN: IN:IMM:NPT:HIGH:IN:NPT:IN:IN:LOW:PT:WIN:WIN:IMM:PT:IN:IN:NPT:IN:IMM:HIGH:LOW:LOW:HIGH:ELIM:
6:Jaimee Vitolo:            A-IN: IN:IMM:PT:IN:IN:NPT:IN:IN:IN:IMM:WIN:IN:IN:WIN:IN:WIN:WIN:LOW:LOW:IN:WIN:ELIM:
7:William Mike:             A-IN: HIGH:IN:WIN:IN:IN:WIN:IN:IN:IN:IMM:PT:IN:IN:PT:IN:LOW:WIN:LOW:PT:IN:ELIM:
8:Daniel McGuffey:          A-IN: IN:IN:LOW:IN:IN:NPT:IN:IN:IN:IMM:NPT:IN:IN:WIN:IN:LOW:WIN:LOW:ELIM:
9:Ahran Cho:                A-IN: IN:IMM:WIN:WIN:IMM:NPT:HIGH:IN:IN:IMM:WIN:IN:WIN:PT:IN:IN:ELIM:
9:Victoria Scroggins:       A-IN: IN:IN:WIN:IN:IN:WIN:HIGH:IN:WIN:IMM:NPT:IN:IN:WIN:HIGH:IN:ELIM:
11:Francis Legge:           A-IN: IN:IMM:WIN:IN:WIN:WIN:IN:IN:IN:IMM:NPT:IN:IN:WIN:IN:ELIM:
12:Christine Silverstein:   A-IN: IN:IN:WIN:IN:IN:NPT:IN:IN:WIN:IMM:WIN:IN:IN:ELIM:
13:Elisa Mayfield:          A-IN: IN:IMM:LOW:IN:IN:WIN:IN:IN:IN:IMM:WIN:IN:ELIM:
14:Daniel Wu:               A-IN: IN:LOW:NPT:IN:IN:WIN:IN:IN:LOW:LOW:ELIM:
15:Francis Biondi:          A-IN: IN:WIN:WIN:HIGH:IMM:LOW:IN:IN:LOW:ELIM:
16:Tyler Viars:             A-IN: IN:IN:WIN:IN:IN:NPT:IN:DSQ:
17:Jordan Kaminski:         A-IN: IN:IN:LOW:IN:IN:ELIM
18:Kira Novak:              A-IN: IN:IMM:WIN:IN:ELIM
19:Gordon Houston:          A-IN: IN:IMM:NPT:WDR
20:Stephani Syfax-Shepherd: A-IN: IN:LOW:ELIM
21:Whitney Bray:            A-IN: IN:ELIM
22:Astrid Lavenia:          A-IN: ELIM
